subject,n_pairs,quip_mean,nwc_mean,mean_diff_nwc_minus_quip,t_stat,p_value
mmlu_prehistory,3,0.618312757201646,0.6522633744855967,0.03395061728395066,1.2590285296322545,0.33506111020485574
mmlu_high_school_macroeconomics,3,0.5170940170940171,0.5538461538461539,0.03675213675213679,1.2023563001042223,0.3522656476292094
mmlu_clinical_knowledge,3,0.6528301886792452,0.6767295597484276,0.023899371069182385,1.068833505879723,0.3970532248233919
mmlu_global_facts,3,0.2733333333333334,0.2966666666666667,0.023333333333333345,1.0674899923282337,0.3975359239232903
mmlu_international_law,3,0.6997245179063359,0.7300275482093664,0.030303030303030314,1.0536089137432658,0.40256200874707504
mmlu_moral_disputes,3,0.558766859344894,0.5953757225433526,0.036608863198458554,1.0270270270270254,0.41238674687657617
mmlu_high_school_physics,3,0.3818984547461368,0.3929359823399558,0.011037527593818966,1.0,0.42264973081037427
mmlu_high_school_microeconomics,3,0.5882352941176471,0.6274509803921569,0.039215686274509776,0.9943091539198076,0.42484637898756783
mmlu_formal_logic,3,0.42328042328042326,0.4074074074074074,-0.015873015873015872,-0.9607689228305232,0.43804851305098347
mmlu_philosophy,3,0.60021436227224,0.6463022508038585,0.04608788853161847,0.9341206594031302,0.4488538161386889
mmlu_high_school_biology,3,0.6645161290322581,0.6881720430107526,0.023655913978494647,0.9064942077733629,0.4603562257111078
mmlu_high_school_world_history,3,0.731364275668073,0.7735583684950774,0.042194092827004225,0.8896947387908901,0.4675022298297439
mmlu_college_computer_science,3,0.42333333333333334,0.4466666666666667,0.023333333333333334,0.8750000000000006,0.47384778039801956
mmlu_nutrition,3,0.6372549019607844,0.6601307189542484,0.02287581699346401,0.8749999999999983,0.47384778039802056
mmlu_college_medicine,3,0.5645472061657033,0.5895953757225434,0.025048169556840045,0.8705443892371513,0.4757894049454179
mmlu_high_school_european_history,3,0.6686868686868688,0.6888888888888888,0.020202020202020148,0.8481889296799681,0.4856555001263616
mmlu_computer_security,3,0.6966666666666667,0.71,0.013333333333333345,0.7559289460184544,0.5285954792089684
mmlu_human_aging,3,0.5515695067264574,0.585949177877429,0.03437967115097157,0.7176994513264403,0.5474509756559347
mmlu_public_relations,3,0.596969696969697,0.6212121212121212,0.024242424242424232,0.5430753866417042,0.6415114280414236
mmlu_professional_accounting,3,0.4042553191489362,0.41134751773049644,0.007092198581560312,0.48038446141526325,0.6783662395486605
mmlu_professional_medicine,3,0.6262254901960783,0.6421568627450981,0.015931372549019624,0.43600600608859985,0.705381254085431
mmlu_jurisprudence,3,0.6419753086419754,0.654320987654321,0.012345679012345697,0.39413171126571794,0.7315375779143898
mmlu_virology,3,0.5140562248995985,0.5100401606425703,-0.004016064257028125,-0.3779644730092295,0.7418011102528375
mmlu_high_school_chemistry,3,0.4548440065681445,0.4679802955665025,0.013136288998357967,0.3215471484232564,0.7782904018105227
mmlu_moral_scenarios,3,0.26033519553072626,0.25363128491620107,-0.006703910614525133,-0.31448545101657527,0.7829276184122737
mmlu_business_ethics,3,0.5666666666666668,0.5499999999999999,-0.016666666666666663,-0.2867696673382021,0.8012678416207091
mmlu_college_physics,3,0.3856209150326797,0.37254901960784315,-0.013071895424836591,-0.28571428571428553,0.8019704914046653
mmlu_abstract_algebra,3,0.27666666666666667,0.27,-0.006666666666666664,-0.2857142857142854,0.8019704914046654
mmlu_high_school_geography,3,0.691919191919192,0.6952861952861954,0.0033670033670033517,0.18898223650461293,0.8675467642934961
